D,l,m,k,datasize,sHDBSCANtime,HDBSCANtime,pcc,mr
1024,2,1000,5,500,1.2408943,0.4121850999945309,1.0,1.0
1024,2,1000,5,500,1.2378551,0.4121850999945309,1.0,1.0
1024,2,1000,5,500,1.2359183,0.4121850999945309,1.0,1.0
1024,2,1000,5,500,1.1671755,0.4121850999945309,1.0,1.0
1024,2,1000,5,500,1.1495767,0.4121850999945309,1.0,1.0
1024,2,1000,5,1000,3.1611611,1.3663925000000745,1.0,0.9999999999999998
1024,2,1000,5,1000,3.169378,1.3663925000000745,1.0,0.9999999999999998
1024,2,1000,5,1000,3.1575774,1.3663925000000745,1.0,0.9999999999999998
1024,2,1000,5,1000,3.1599035,1.3663925000000745,1.0,0.9999999999999998
1024,2,1000,5,1000,3.2288917,1.3663925000000745,1.0,0.9999999999999998
1024,2,1000,5,2000,8.3816001,5.232455499994103,1.0,0.9999999999999999
1024,2,1000,5,2000,8.5503052,5.232455499994103,1.0,0.9999999999999999
1024,2,1000,5,2000,8.9383815,5.232455499994103,1.0,0.9999999999999999
1024,2,1000,5,2000,8.4022727,5.232455499994103,1.0,0.9999999999999999
1024,2,1000,5,2000,8.427009,5.232455499994103,1.0,0.9999999999999999
1024,2,1000,5,4000,20.2599666,20.259420799993677,0.999999740889091,0.9999967494545727
1024,2,1000,5,4000,20.3188487,20.259420799993677,1.0,1.0000000000000007
1024,2,1000,5,4000,20.2497968,20.259420799993677,0.9999999996018019,0.999999897630886
1024,2,1000,5,4000,20.2673632,20.259420799993677,1.0,1.0000000000000007
1024,2,1000,5,4000,20.2035266,20.259420799993677,1.0,1.0000000000000007
1024,2,1000,5,8000,53.4127643,79.3903549000097,0.9999602882294587,0.9998241681892998
1024,2,1000,5,8000,53.9914194,79.3903549000097,0.9999596958569185,0.9998655701108189
1024,2,1000,5,8000,54.2265274,79.3903549000097,0.9999415824107258,0.9998234084701373
1024,2,1000,5,8000,56.6375945,79.3903549000097,0.9999508712301646,0.9998489620995509
1024,2,1000,5,8000,54.9530838,79.3903549000097,0.999960477082263,0.9998824219368905
1024,2,1000,5,16000,145.6765186,313.4956833999895,0.999367608551331,0.9974588114843235
1024,2,1000,5,16000,144.362,313.4956833999895,0.9993399160209036,0.9972199213480302
1024,2,1000,5,16000,147.4546228,313.4956833999895,0.9993993053899894,0.9970009682744301
1024,2,1000,5,16000,145.5577086,313.4956833999895,0.9991210704013793,0.9973850883641996
1024,2,1000,5,16000,145.7810987,313.4956833999895,0.9992927838275174,0.9980082580263566
1024,2,1000,5,32000,360.9973213,1243.529129500006,0.9966572266233451,0.991033928998355
1024,2,1000,5,32000,372.5440695,1243.529129500006,0.9957162952045484,0.9887918060873878
1024,2,1000,5,32000,369.7492931,1243.529129500006,0.9963652828296148,0.989300162172299
1024,2,1000,5,32000,353.2263938,1243.529129500006,0.9972375961525118,0.9929044987836627
1024,2,1000,5,32000,365.06101,1243.529129500006,0.996913306840622,0.9909061520894971
