D,l,m,k,datasize,sHDBSCANtime,HDBSCANtime,pcc,mr
1024,2,1000,5,500,1.1887006,0.3898492000007536,1.0,1.0
1024,2,1000,5,500,1.128765,0.3898492000007536,1.0,1.0
1024,2,1000,5,500,1.1937738,0.3898492000007536,1.0,1.0
1024,2,1000,5,500,1.1939704,0.3898492000007536,1.0,1.0
1024,2,1000,5,500,1.2219131,0.3898492000007536,1.0,1.0
1024,2,1000,5,1000,3.2073333,1.3862970999907702,1.0,0.9999999999999998
1024,2,1000,5,1000,3.1648918,1.3862970999907702,1.0,0.9999999999999998
1024,2,1000,5,1000,3.2007381,1.3862970999907702,1.0,0.9999999999999998
1024,2,1000,5,1000,3.1566518,1.3862970999907702,1.0,0.9999999999999998
1024,2,1000,5,1000,3.1718121,1.3862970999907702,1.0,0.9999999999999998
1024,2,1000,5,2000,8.9864139,5.2207360999891534,1.0,0.9999999999999999
1024,2,1000,5,2000,8.3996705,5.2207360999891534,1.0,0.9999999999999999
1024,2,1000,5,2000,8.483368,5.2207360999891534,1.0,0.9999999999999999
1024,2,1000,5,2000,8.4649228,5.2207360999891534,1.0,0.9999999999999999
1024,2,1000,5,2000,8.4271175,5.2207360999891534,1.0,0.9999999999999999
1024,2,1000,5,4000,20.2599666,20.259420799993677,0.999999740889091,0.9999967494545727
1024,2,1000,5,4000,20.3188487,20.259420799993677,1.0,1.0000000000000007
1024,2,1000,5,4000,20.2497968,20.259420799993677,0.9999999996018019,0.999999897630886
1024,2,1000,5,4000,20.2673632,20.259420799993677,1.0,1.0000000000000007
1024,2,1000,5,4000,20.2035266,20.259420799993677,1.0,1.0000000000000007
1024,2,1000,5,5000,27.6147904,31.319539299991447,0.9999886263277948,0.9999773427063683
1024,2,1000,5,5000,27.6758055,31.319539299991447,0.9999994070297317,0.9999950380827023
1024,2,1000,5,5000,27.9959406,31.319539299991447,0.9999976526198959,0.9999886342843259
1024,2,1000,5,5000,31.7950845,31.319539299991447,0.9999946045552089,0.9999815355889817
1024,2,1000,5,5000,27.4562925,31.319539299991447,0.9999979786420885,0.999982642339249
1024,2,1000,5,10000,73.3379587,123.04997669998556,0.9998274969903997,0.9995028294282734
1024,2,1000,5,10000,72.5012033,123.04997669998556,0.999871106866059,0.9996540420192334
1024,2,1000,5,10000,71.9665606,123.04997669998556,0.9998647688014246,0.9996256693586097
1024,2,1000,5,10000,71.9245234,123.04997669998556,0.9998353090979926,0.9996471569306187
1024,2,1000,5,10000,72.4673898,123.04997669998556,0.9998932404542407,0.9996516747829081
1024,2,1000,5,20000,196.5891937,487.35038230000646,0.9983513751197286,0.9958543009398213
1024,2,1000,5,20000,193.2421956,487.35038230000646,0.998977627237406,0.9974263223529002
1024,2,1000,5,20000,203.6046173,487.35038230000646,0.998495663387218,0.9961244438914783
1024,2,1000,5,20000,192.9462487,487.35038230000646,0.9989576606067517,0.9970575201339859
1024,2,1000,5,20000,194.7175187,487.35038230000646,0.998968706034822,0.9967869277820807
1024,2,1000,5,30000,329.2257943,1093.9743757999968,0.9970472712228082,0.9920937586775559
1024,2,1000,5,30000,327.534295,1093.9743757999968,0.9971500499231797,0.9930166070668967
1024,2,1000,5,30000,333.9251467,1093.9743757999968,0.9969745983134123,0.9914353383532271
1024,2,1000,5,30000,327.3581557,1093.9743757999968,0.997537430031039,0.9930484635967344
1024,2,1000,5,30000,331.2657092,1093.9743757999968,0.9973406588785163,0.9918078620974633
1024,2,1000,5,40000,496.8008213,1936.5486515999946,0.9950200091078338,0.9868170208432284
1024,2,1000,5,40000,501.0454799,1936.5486515999946,0.9945476470246948,0.9872265055470124
1024,2,1000,5,40000,486.310581,1936.5486515999946,0.99545238250059,0.9878688572730949
1024,2,1000,5,40000,485.6874931,1936.5486515999946,0.9954959626182437,0.9877547129708845
1024,2,1000,5,40000,502.6436123,1936.5486515999946,0.9937883722992052,0.984506842864666
1024,2,1000,5,50000,693.0493853,3030.3487905999937,0.9931318948123601,0.9852102637132313
1024,2,1000,5,50000,704.571716,3030.3487905999937,0.9927107620546982,0.9826649525553587
1024,2,1000,5,50000,710.7539999,3030.3487905999937,0.9903533396467675,0.9767548565751504
1024,2,1000,5,50000,709.4422564,3030.3487905999937,0.9920640239150372,0.9806708418608999
1024,2,1000,5,50000,715.02371,3030.3487905999937,0.9894388108547826,0.9758768323394758
1024,2,1000,5,60000,928.1724631,4362.019899000006,0.9881564220849494,0.9705338326146721
1024,2,1000,5,60000,943.9878072,4362.019899000006,0.9891588544754212,0.974214105675473
1024,2,1000,5,60000,921.096843,4362.019899000006,0.9902864577566655,0.9750034071955694
1024,2,1000,5,60000,916.8722191,4362.019899000006,0.9916236732704655,0.9799699009915365
1024,2,1000,5,60000,927.6894312,4362.019899000006,0.987774231971299,0.9701622129283363
